begin_timestamp;end_timestamp;name;duration;session
1524757506016561113;1524757506016643352;gradients/Conv2D_grad/Conv2DBackpropInput;82239;6
1524757505943616335;1524757505943698094;gradients/Conv2D_1_grad/Conv2DBackpropFilter;81759;3
1524757506015163216;1524757506015244335;gradients/Conv2D_1_grad/Conv2DBackpropFilter;81119;6
1524757505969400793;1524757505969481271;gradients/Conv2D_1_grad/Conv2DBackpropFilter;80478;4
1524757505986438205;1524757505986518204;gradients/Conv2D_1_grad/Conv2DBackpropFilter;79999;5
1524757506006229606;1524757506006309125;Conv2D;79519;6
1524757505960219192;1524757505960298551;Conv2D;79359;4
1524757505977678753;1524757505977756512;Conv2D;77759;5
1524757505945164950;1524757505945242389;gradients/Conv2D_grad/Conv2DBackpropFilter;77439;3
1524757506016193119;1524757506016270558;gradients/Conv2D_grad/Conv2DBackpropInput;77439;6
1524757505987465868;1524757505987543147;gradients/Conv2D_grad/Conv2DBackpropInput;77279;5
1524757505987981860;1524757505988059139;gradients/Conv2D_grad/Conv2DBackpropFilter;77279;5
1524757505944651198;1524757505944728317;gradients/Conv2D_grad/Conv2DBackpropInput;77119;3
1524757506015296654;1524757506015373773;gradients/MaxPool_grad/MaxPoolGrad;77119;6
1524757506016710071;1524757506016787190;gradients/Conv2D_grad/Conv2DBackpropFilter;77119;6
1524757505987071955;1524757505987149073;gradients/MaxPool_grad/MaxPoolGrad;77118;5
1524757505943751053;1524757505943828012;gradients/MaxPool_grad/MaxPoolGrad;76959;3
1524757505970428456;1524757505970505415;gradients/Conv2D_grad/Conv2DBackpropInput;76959;4
1524757505970943488;1524757505971020447;gradients/Conv2D_grad/Conv2DBackpropFilter;76959;4
1524757505986570523;1524757505986647482;gradients/MaxPool_grad/MaxPoolGrad;76959;5
1524757505944251525;1524757505944328483;gradients/MaxPool_grad/MaxPoolGrad;76958;3
1524757505970034543;1524757505970111501;gradients/MaxPool_grad/MaxPoolGrad;76958;4
1524757506015797126;1524757506015873925;gradients/MaxPool_grad/MaxPoolGrad;76799;6
1524757505969534071;1524757505969610869;gradients/MaxPool_grad/MaxPoolGrad;76798;4
1524757505988063299;1524757505988134818;gradients/Conv2D_grad/Conv2DBackpropFilter;71519;5
1524757505971024287;1524757505971095166;gradients/Conv2D_grad/Conv2DBackpropFilter;70879;4
1524757506016791030;1524757506016861589;gradients/Conv2D_grad/Conv2DBackpropFilter;70559;6
1524757505945246229;1524757505945316628;gradients/Conv2D_grad/Conv2DBackpropFilter;70399;3
1524757506014380349;1524757506014445788;gradients/Conv2D_1_grad/Conv2DBackpropInput;65439;6
1524757505968620805;1524757505968685604;gradients/Conv2D_1_grad/Conv2DBackpropInput;64799;4
1524757505985659178;1524757505985723336;gradients/Conv2D_1_grad/Conv2DBackpropInput;64158;5
1524757505942834428;1524757505942897947;gradients/Conv2D_1_grad/Conv2DBackpropInput;63519;3
1524757505937793549;1524757505937851308;SoftmaxCrossEntropyWithLogits;57759;3
1524757505963910481;1524757505963968240;SoftmaxCrossEntropyWithLogits;57759;4
1524757506010010339;1524757506010068098;SoftmaxCrossEntropyWithLogits;57759;6
1524757505965052543;1524757505965110142;gradients/dropout/div_grad/Sum_1;57599;4
1524757505981419566;1524757505981477165;SoftmaxCrossEntropyWithLogits;57599;5
1524757505982544508;1524757505982602107;gradients/dropout/div_grad/Sum_1;57599;5
1524757506011146001;1524757506011203600;gradients/dropout/div_grad/Sum_1;57599;6
