session id;operation;latency;nb inputs
4;gradients/Reshape_2_grad/Reshape;7411;2
4;Relu;7311;1
4;Add;6932;2
4;Relu_1;6912;1
4;dropout/Floor;6904;1
4;gradients/Reshape_1_grad/Shape;6704;1
4;dropout/add;6528;2
4;Adam/update_Variable/ApplyAdam;5909;10
4;gradients/Add_1_grad/Sum;5819;2
4;gradients/Relu_2_grad/ReluGrad;5361;2
4;gradients/SoftmaxCrossEntropyWithLogits_grad/ExpandDims;5127;2
4;gradients/Mean_grad/Shape;5011;1
4;gradients/dropout/div_grad/RealDiv;4900;2
4;gradients/SoftmaxCrossEntropyWithLogits_grad/mul;4850;2
4;Reshape_2;4562;2
4;MatMul;4123;2
4;SoftmaxCrossEntropyWithLogits;4121;2
4;concat_1;3922;3
4;concat;3871;3
4;Reshape_3;3845;2
4;Slice_1;3806;3

5;Adam/mul_1;7483149;10
5;Adam/mul;7473120;10
5;gradients/Mean_grad/Maximum;4334391;2
5;Reshape;1177820;2
5;gradients/Mean_grad/Prod_1;997649;2
5;Adam/update_Variable_5/ApplyAdam;379181;10
5;Adam/update_Variable_4/ApplyAdam;278808;10
5;gradients/Conv2D_1_grad/Conv2DBackpropFilter;261222;3
5;Variable_4/read;212724;1
5;Variable/read;212715;1
5;Variable_3/read;212523;1
5;Variable_5/read;212215;1
5;Variable_2/read;211589;1
5;Variable_6/read;211490;1
5;Variable_1/read;211360;1
5;Variable_7/read;211054;1
5;gradients/Conv2D_grad/Conv2DBackpropFilter;175532;3
5;gradients/Conv2D_1_grad/tuple/control_dependency;175426;2
5;beta2_power/read;172561;1
5;beta1_power/read;168046;1
5;gradients/Mean_grad/floordiv;148414;2
5;gradients/Mean_grad/Cast;145457;1
5;Adam/update_Variable_1/ApplyAdam;134789;10
5;gradients/Conv2D_1_grad/Shape;123919;1
5;gradients/dropout/mul_grad/Sum;92340;2
5;gradients/Conv2D_grad/Shape;89730;1
5;gradients/MatMul_grad/tuple/control_dependency;88629;2
5;gradients/MatMul_1_grad/tuple/control_dependency;85461;2
5;gradients/MatMul_grad/tuple/control_dependency_1;72814;2
5;gradients/dropout/mul_grad/Sum_1;70916;2
5;gradients/MatMul_1_grad/tuple/control_dependency_1;64386;2
5;Adam/update_Variable_3/ApplyAdam;61233;10
5;Adam/update_Variable_7/ApplyAdam;59287;10
5;gradients/Conv2D_1_grad/tuple/control_dependency_1;57680;2
5;gradients/Conv2D_grad/tuple/control_dependency_1;53088;2
5;BiasAdd_1;52170;2
5;gradients/Relu_grad/ReluGrad;47704;2
5;Adam/update_Variable_6/ApplyAdam;47105;10
5;gradients/BiasAdd_1_grad/tuple/control_dependency;45905;2
5;gradients/BiasAdd_grad/tuple/control_dependency;44304;2
5;dropout/random_uniform/RandomUniform;44271;1
5;gradients/dropout/mul_grad/Shape;44143;1
5;gradients/MaxPool_1_grad/MaxPoolGrad;40633;3
5;gradients/dropout/div_grad/Neg;40555;1
5;gradients/MatMul_1_grad/MatMul_1;37210;2
5;gradients/dropout/mul_grad/BroadcastGradientArgs;34857;2
5;gradients/Add_grad/Reshape;32210;2
5;gradients/dropout/mul_grad/mul_1;31943;2
5;Adam/Assign_1;31549;2
5;gradients/MatMul_grad/MatMul_1;30937;2
5;gradients/dropout/div_grad/RealDiv_1;30011;2
5;dropout/random_uniform/mul;29606;2
5;gradients/Add_1_grad/Shape;29265;1
5;gradients/Add_1_grad/Reshape;27762;2
5;gradients/Add_grad/Shape;27548;1
5;gradients/dropout/div_grad/Sum;27098;2
5;gradients/dropout/div_grad/RealDiv_2;26632;2
5;gradients/Add_grad/BroadcastGradientArgs;26043;2
5;gradients/dropout/mul_grad/Shape_1;25136;1
5;Reshape_4;24990;2
5;gradients/dropout/div_grad/Reshape;24621;2
5;dropout/random_uniform;23677;2
5;gradients/dropout/div_grad/mul;23535;2
5;Adam/Assign;21229;2
5;dropout/div;20434;2
5;gradients/Add_1_grad/tuple/control_dependency;16953;2
5;gradients/Add_1_grad/tuple/control_dependency_1;16550;2
5;gradients/BiasAdd_1_grad/tuple/control_dependency_1;15677;2
5;gradients/Mean_grad/Tile;15130;2
5;gradients/BiasAdd_grad/tuple/control_dependency_1;14998;2
5;gradients/Add_grad/Sum_1;14990;2
5;gradients/dropout/div_grad/BroadcastGradientArgs;14535;2
5;dropout/Shape;14511;1
5;gradients/dropout/div_grad/Sum_1;14424;2
5;gradients/dropout/div_grad/tuple/control_dependency;14424;2
5;BiasAdd;14407;2
5;gradients/Add_1_grad/Sum_1;13918;2
5;gradients/dropout/mul_grad/tuple/control_dependency;13676;2
5;gradients/Add_grad/tuple/control_dependency;13467;2
5;MatMul_1;13137;2
5;gradients/Reshape_4_grad/Shape;12768;1
5;gradients/Add_grad/tuple/control_dependency_1;12685;2
5;Reshape_1;12561;2
5;Relu_2;12120;1
5;gradients/Add_1_grad/BroadcastGradientArgs;12032;2
5;Slice_2;11825;3
5;gradients/Add_1_grad/Reshape_1;11820;2
5;Add_1;11767;2
5;gradients/dropout/mul_grad/Reshape;11728;2
5;Shape;11315;1
